Agency,Bureau,Account,Account_Number,Period_of_Performance,Expiration_Year,TAFS,Unobligated Balance (Line 2490),Budget Authority (Line 2500),Percentage Unobligated
Department of the Interior,United States Fish and Wildlife Service,Coastal Impact Assistance,14-5579,No Year,No Year,14-5579 /X - Coastal Impact Assistance,$21.2M,$29.8M,71.3%
Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education,Operation of Indian Programs,14-2100,FY2015-FY2017,2017,14-2100 15/17 - Operation of Indian Programs,$10.2M,$29.0M,35.0%
Department of the Interior,National Park Service,Operation of the National Park System,14-1036,No Year,No Year,14-1036 /X - Operation of the National Park System,$24.5M,$28.6M,85.8%
Department of the Interior,National Park Service,Park Partnership Project Grants,14-2645,No Year,No Year,14-2645 /X - Park Partnership Project Grants,$26.1M,$27.9M,93.6%
Department of the Interior,Bureau of Land Management,Forest Ecosystem Health and Recovery Fund,14-5165,No Year,No Year,14-5165 /X - Forest Ecosystem Health and Recovery Fund,$18.4M,$23.9M,77.2%
Department of the Interior,National Park Service,Concessions Improvement Accounts,14-5169,No Year,No Year,14-5169 /X - Concessions Improvement Accounts,$16.7M,$22.1M,75.7%
Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education,Operation and Maintenance of Quarters,14-5051,No Year,No Year,14-5051 /X - Operation and Maintenance of Quarters,$16.3M,$21.7M,75.3%
Department of the Interior,Bureau of Safety and Environmental Enforcement,Oil Spill Research,14-8370,No Year,No Year,14-8370 /X - Oil Spill Research,$11.8M,$21.5M,54.7%
Department of the Interior,Central Utah Project,Utah Reclamation Mitigation and Conservation Account,14-5174,No Year,No Year,14-5174 /X - Utah Reclamation Mitigation and Conservation Account,$15.0M,$21.3M,70.1%
Department of the Interior,Departmental Offices,Indian Education Scholarship Holding Fund,14-2010,FY2013-FY2023,2023,14-2010 13/23 - Indian Education Scholarship Holding Fund,$0.0M,$20.4M,0.0%
Department of the Interior,Bureau of Land Management,"Payments to Counties, Oregon and California Grant Lands",14-5884,No Year,No Year,"14-5884 /X - Payments to Counties, Oregon and California Grant Lands",$1.4M,$20.2M,6.9%
Department of the Interior,United States Geological Survey,"Surveys, Investigations, and Research",14-0804,FY2017,2017,"14-0804 /17 - Surveys, Investigations, and Research",$3.6M,$19.3M,18.8%
Department of the Interior,United States Fish and Wildlife Service,National Wildlife Refuge Fund,14-5091,No Year,No Year,14-5091 /X - National Wildlife Refuge Fund,$6.1M,$17.0M,35.7%
Department of the Interior,Department-Wide Programs,Natural Resource Damage Assessment Fund,14-14-1618,No Year,No Year,14-14-1618 /X - Natural Resource Damage Assessment Fund,$9.6M,$16.9M,56.8%
Department of the Interior,Bureau of Land Management,Southern Nevada Public Land Management,12-14-5232,No Year,No Year,12-14-5232 /X - Southern Nevada Public Land Management,$6.6M,$16.1M,41.2%
Department of the Interior,Bureau of Reclamation,Taos Settlement Fund,14-2638,No Year,No Year,14-2638 /X - Taos Settlement Fund,$16.0M,$16.0M,100.0%
Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education,Indian Land Consolidation,14-2103,No Year,No Year,14-2103 /X - Indian Land Consolidation,$15.7M,$15.7M,100.0%
Department of the Interior,Bureau of Land Management,"Payments to State and County from Clark County, Nevada Land Sale",14-5129,No Year,No Year,"14-5129 /X - Payments to State and County from Clark County, Nevada Land Sale",$1.1M,$15.2M,6.9%
Department of the Interior,Bureau of Land Management,Timber Sale Pipeline Restoratio,14-5249,No Year,No Year,14-5249 /X - Timber Sale Pipeline Restoratio,$10.7M,$15.0M,71.4%
Department of the Interior,Bureau of Land Management,Range Improvements,14-5132,No Year,No Year,14-5132 /X - Range Improvements,$9.2M,$14.9M,61.9%
Department of the Interior,Bureau of Reclamation,San Joaquin Restoration Fund,14-5537,No Year,No Year,14-5537 /X - San Joaquin Restoration Fund,$14.0M,$14.7M,95.3%
Department of the Interior,National Park Service,Historic Preservation Fund,14-5140,FY2016-FY2017,2017,14-5140 16/17 - Historic Preservation Fund,$3.6M,$14.4M,25.0%
Department of the Interior,United States Fish and Wildlife Service,"Recreation Enhancement Fee Program, FWS",14-5252,No Year,No Year,"14-5252 /X - Recreation Enhancement Fee Program, FWS",$8.9M,$14.4M,62.1%
Department of the Interior,Departmental Offices,"Salaries and Expenses, Departmental Management, from the Land an",14-5571,No Year,No Year,"14-5571 /X - Salaries and Expenses, Departmental Management, from the Land an",$3.6M,$14.1M,25.2%
Department of the Interior,United States Fish and Wildlife Service,National Wildlife Refuge Fund,14-1691,FY2017,2017,14-1691 /17 - National Wildlife Refuge Fund,$0.0M,$13.2M,0.0%
Department of the Interior,United States Fish and Wildlife Service,Contributed Funds,14-8216,No Year,No Year,14-8216 /X - Contributed Funds,$9.3M,$12.9M,72.2%
Department of the Interior,United States Fish and Wildlife Service,Multinational Species Conservation Fund,14-1652,No Year,No Year,14-1652 /X - Multinational Species Conservation Fund,$7.2M,$12.7M,56.9%
Department of the Interior,National Park Service,National Recreation and Preservation,14-1042,No Year,No Year,14-1042 /X - National Recreation and Preservation,$8.1M,$12.4M,65.8%
Department of the Interior,Office of the Special Trustee for American Indians,Federal Trust Programs,14-0120,FY2017,2017,14-0120 /17 - Federal Trust Programs,$4.5M,$12.4M,36.5%
Department of the Interior,Bureau of Land Management,NPR-A Well Rediation Fund,14-2640,No Year,No Year,14-2640 /X - NPR-A Well Rediation Fund,$0.5M,$11.3M,4.7%
Department of the Interior,United States Fish and Wildlife Service,Operation and Maintenance of Quarters,14-5050,No Year,No Year,14-5050 /X - Operation and Maintenance of Quarters,$7.8M,$10.4M,75.1%
Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education,Indian Guaranteed Loan Program Account,14-2628,FY2017,2017,14-2628 /17 - Indian Guaranteed Loan Program Account,$1.7M,$10.2M,17.0%
Department of the Interior,Insular Affairs,Assistance to Territories,14-0412,FY2017-FY2018,2018,14-0412 17/18 - Assistance to Territories,$1.8M,$9.4M,18.6%
Department of the Interior,Bureau of Land Management,"Expenses, Rods Maintenance Deposits",14-5018,No Year,No Year,"14-5018 /X - Expenses, Rods Maintenance Deposits",$6.1M,$8.8M,69.0%
Department of the Interior,Central Utah Project,Central Utah Project Completion Account,14-0787,No Year,No Year,14-0787 /X - Central Utah Project Completion Account,$0.5M,$8.4M,5.7%
Department of the Interior,National Park Service,Filming and Special Use Fee Program,14-5247,No Year,No Year,14-5247 /X - Filming and Special Use Fee Program,$6.0M,$6.8M,87.5%
Department of the Interior,Bureau of Reclamation,Policy and Administration,14-5065,FY2016-FY2017,2017,14-5065 16/17 - Policy and Administration,$1.6M,$6.4M,24.4%
Department of the Interior,Bureau of Land Management,Construction,14-1110,No Year,No Year,14-1110 /X - Construction,$5.9M,$6.2M,93.9%
Department of the Interior,Bureau of Safety and Environmental Enforcement,Offshore Safety and Environmental Enforcement,14-1700,FY2016-FY2017,2017,14-1700 16/17 - Offshore Safety and Environmental Enforcement,$0.9M,$6.2M,15.3%
Department of the Interior,National Park Service,"Outer Continental Shelf Revenues, LWCF Share from Certain Leases",14-5536,No Year,No Year,"14-5536 /X - Outer Continental Shelf Revenues, LWCF Share from Certain Leases",$6.0M,$6.0M,99.6%
Department of the Interior,National Indian Gaming Commission,Salaries and Expenses,14-0118,No Year,No Year,14-0118 /X - Salaries and Expenses,$5.2M,$5.2M,100.0%
Department of the Interior,Bureau of Reclamation,Policy and Administration,14-5065,No Year,No Year,14-5065 /X - Policy and Administration,$5.1M,$5.1M,99.4%
Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education,Operation of Indian Programs,14-2100,FY2017,2017,14-2100 /17 - Operation of Indian Programs,$2.1M,$5.0M,41.3%
Department of the Interior,Departmental Offices,Salaries and Expenses,14-0102,FY2017,2017,14-0102 /17 - Salaries and Expenses,$2.1M,$5.0M,41.9%
Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education,Guaranteed Loan Financing Account - Recovery Act,14-4401,No Year,No Year,14-4401 /X - Guaranteed Loan Financing Account - Recovery Act,$4.9M,$4.9M,100.0%
Department of the Interior,United States Fish and Wildlife Service,Neotropical Migratory Bird Conservation,14-1696,No Year,No Year,14-1696 /X - Neotropical Migratory Bird Conservation,$0.2M,$4.8M,4.8%
Department of the Interior,Bureau of Land Management,Title II Projects on Federal Lands,14-5485,No Year,No Year,14-5485 /X - Title II Projects on Federal Lands,$1.6M,$4.6M,34.9%
Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education,"Gifts and Donations, Bureau of Indian Affairs",14-8361,No Year,No Year,"14-8361 /X - Gifts and Donations, Bureau of Indian Affairs",$3.2M,$3.8M,82.6%
Department of the Interior,National Park Service,Construction (and Major Maintenance),96-14-1039,No Year,No Year,96-14-1039 /X - Construction (and Major Maintenance),$3.1M,$3.7M,83.0%
Department of the Interior,Bureau of Reclamation,Bureau of Reclamation Direct Loan Financing Account,14-4547,No Year,No Year,14-4547 /X - Bureau of Reclamation Direct Loan Financing Account,$1.6M,$3.3M,50.2%
Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education,Aamodt Settlement Pueblos' Fund,14-2637,No Year,No Year,14-2637 /X - Aamodt Settlement Pueblos' Fund,$0.0M,$3.0M,0.0%
Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education,Indian Water Rights and Habitat Acquisition Program,14-5505,No Year,No Year,14-5505 /X - Indian Water Rights and Habitat Acquisition Program,$3.0M,$3.0M,100.0%
Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education,Alaska Resupply Program,14-5242,No Year,No Year,14-5242 /X - Alaska Resupply Program,$2.3M,$2.5M,95.1%
Department of the Interior,Bureau of Land Management,"Cool Inlet Region, Inc (CIRI) Property Account",14-1118,No Year,No Year,"14-1118 /X - Cool Inlet Region, Inc (CIRI) Property Account",$2.4M,$2.4M,100.0%
Department of the Interior,Bureau of Land Management,"Washington County, Utah Land Acquisition Account",14-5554,No Year,No Year,"14-5554 /X - Washington County, Utah Land Acquisition Account",$2.4M,$2.4M,100.0%
Department of the Interior,Bureau of Ocean Energy Management,Royalty and Offshore Minerals Management,14-1917,FY2016-FY2017,2017,14-1917 16/17 - Royalty and Offshore Minerals Management,$0.4M,$2.4M,16.8%
Department of the Interior,Bureau of Reclamation,"Recreation Enhancement Fee Program, Bureau of Reclamation",14-5109,No Year,No Year,"14-5109 /X - Recreation Enhancement Fee Program, Bureau of Reclamation",$1.8M,$2.4M,72.9%
Department of the Interior,Office of Surface Mining Reclamation and Enforcement,Civil Penalties,14-5063,No Year,No Year,14-5063 /X - Civil Penalties,$1.8M,$2.3M,77.8%
Department of the Interior,United States Geological Survey,Contributed Funds,14-8562,No Year,No Year,14-8562 /X - Contributed Funds,$1.6M,$2.3M,71.8%
Department of the Interior,Bureau of Land Management,Operations and Maintenance of Quarters,14-5048,No Year,No Year,14-5048 /X - Operations and Maintenance of Quarters,$1.5M,$2.1M,71.7%
Department of the Interior,Insular Affairs,Compact of Free Association,14-0415,FY2017,2017,14-0415 /17 - Compact of Free Association,$0.0M,$2.0M,0.0%
Department of the Interior,Bureau of Land Management,"Payments to States from Grazing Receipts, Etc., Public Lands Wit",14-5032,No Year,No Year,"14-5032 /X - Payments to States from Grazing Receipts, Etc., Public Lands Wit",$0.1M,$1.8M,6.9%
Department of the Interior,Bureau of Reclamation,Operation and Maintenance of Quarters,14-5053,No Year,No Year,14-5053 /X - Operation and Maintenance of Quarters,$1.3M,$1.7M,78.2%
Department of the Interior,United States Fish and Wildlife Service,Miscellaneous Permanent Appropriations,14-5157,No Year,No Year,14-5157 /X - Miscellaneous Permanent Appropriations,$1.1M,$1.7M,66.1%
Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education,White Earth Settlement Fund,14-2204,No Year,No Year,14-2204 /X - White Earth Settlement Fund,$1.0M,$1.6M,62.5%
Department of the Interior,Central Utah Project,Central Utah Project Completion Account,14-0787,FY2017-FY2018,2018,14-0787 17/18 - Central Utah Project Completion Account,$0.7M,$1.4M,53.0%
Department of the Interior,Insular Affairs,Assistance to Territories,14-0412,FY2016-FY2017,2017,14-0412 16/17 - Assistance to Territories,$0.0M,$1.4M,0.6%
Department of the Interior,Bureau of Land Management,"Payments to States from Grazing Receipts, Etc., Public Lands out",14-5016,No Year,No Year,"14-5016 /X - Payments to States from Grazing Receipts, Etc., Public Lands out",$0.1M,$1.3M,6.9%
Department of the Interior,Bureau of Land Management,Permit Processing Improvement Fund,12-14-5573,No Year,No Year,12-14-5573 /X - Permit Processing Improvement Fund,$0.5M,$1.2M,44.9%
Department of the Interior,United States Fish and Wildlife Service,"Proceeds from Sales, Water Resources Development Projects",14-5092,No Year,No Year,"14-5092 /X - Proceeds from Sales, Water Resources Development Projects",$1.0M,$1.2M,77.0%
Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education,Indian Direct Loan Program Account,14-2627,FY2017,2017,14-2627 /17 - Indian Direct Loan Program Account,$1.1M,$1.1M,100.0%
Department of the Interior,Bureau of Land Management,Management of Lands and Resources,14-1109,FY2017,2017,14-1109 /17 - Management of Lands and Resources,$0.5M,$1.0M,50.9%
Department of the Interior,Bureau of Land Management,Stewardship Contracting Product Sales,14-5506,No Year,No Year,14-5506 /X - Stewardship Contracting Product Sales,$0.9M,$1.0M,92.3%
Department of the Interior,Bureau of Reclamation,Bureau of Reclamation Loan Liquidating Account,14-0667,No Year,No Year,14-0667 /X - Bureau of Reclamation Loan Liquidating Account,$1.0M,$1.0M,100.0%
Department of the Interior,Insular Affairs,Assistance to American Samoa Direct Loan Financing Account,14-4163,No Year,No Year,14-4163 /X - Assistance to American Samoa Direct Loan Financing Account,$0.4M,$1.0M,43.9%
Department of the Interior,United States Fish and Wildlife Service,Landowner Incentive Program,14-5496,No Year,No Year,14-5496 /X - Landowner Incentive Program,$0.1M,$1.0M,5.3%
Department of the Interior,Bureau of Land Management,Payments to State (proceeds of Sales),14-5133,No Year,No Year,14-5133 /X - Payments to State (proceeds of Sales),$0.1M,$0.9M,11.7%
Department of the Interior,Bureau of Land Management,Southern Nevada Public Land Management,69-14-5232,No Year,No Year,69-14-5232 /X - Southern Nevada Public Land Management,$0.9M,$0.9M,100.0%
Department of the Interior,Office of Inspector General,Salaries and Expenses,14-0104,No Year,No Year,14-0104 /X - Salaries and Expenses,$0.7M,$0.8M,90.0%
Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education,Indian Direct Loan Financing Account,14-4416,No Year,No Year,14-4416 /X - Indian Direct Loan Financing Account,$0.7M,$0.7M,100.0%
Department of the Interior,Bureau of Land Management,Owyhee Land Acquisition Account,14-5556,No Year,No Year,14-5556 /X - Owyhee Land Acquisition Account,$0.7M,$0.7M,98.0%
Department of the Interior,Bureau of Reclamation,Water and Related Resources,14-0680,FY2017,2017,14-0680 /17 - Water and Related Resources,$0.2M,$0.7M,28.5%
Department of the Interior,Bureau of Land Management,Permit Processing Improvement Fund,68-14-5573,No Year,No Year,68-14-5573 /X - Permit Processing Improvement Fund,$0.3M,$0.6M,56.2%
Department of the Interior,Central Utah Project,Central Utah Project Completion Account,14-0787,FY2016-FY2017,2017,14-0787 16/17 - Central Utah Project Completion Account,$0.0M,$0.6M,0.0%
Department of the Interior,Bureau of Land Management,Naval Petroleum Reserve Numbered 2 Lease Revenue Account,14-5576,No Year,No Year,14-5576 /X - Naval Petroleum Reserve Numbered 2 Lease Revenue Account,$0.4M,$0.5M,99.5%
Department of the Interior,Bureau of Reclamation,"Water and Related Resources, Recovery Act",14-0681,No Year,No Year,"14-0681 /X - Water and Related Resources, Recovery Act",$0.5M,$0.5M,100.0%
Department of the Interior,Bureau of Reclamation,"Payments to Local Units, Klamath Reclamation Area",14-5103,No Year,No Year,"14-5103 /X - Payments to Local Units, Klamath Reclamation Area",$0.0M,$0.5M,6.9%
Department of the Interior,Bureau of Land Management,"Payments to Counties, National Grasslands",14-5896,No Year,No Year,"14-5896 /X - Payments to Counties, National Grasslands",$0.1M,$0.4M,16.3%
Department of the Interior,Bureau of Land Management,Silver Saddle Endowment Account,14-5559,No Year,No Year,14-5559 /X - Silver Saddle Endowment Account,$0.4M,$0.4M,100.0%
Department of the Interior,United States Fish and Wildlife Service,Community Partnership Enhancement,14-5501,No Year,No Year,14-5501 /X - Community Partnership Enhancement,$0.2M,$0.4M,56.2%
Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education,Revolving Fund for Loans Liquidating Account,14-4409,No Year,No Year,14-4409 /X - Revolving Fund for Loans Liquidating Account,$0.3M,$0.3M,100.0%
Department of the Interior,Bureau of Land Management,"Payments to Coos and Douglas Counties, Oregon, from Receipts, Co",14-5898,No Year,No Year,"14-5898 /X - Payments to Coos and Douglas Counties, Oregon, from Receipts, Co",$0.0M,$0.3M,6.9%
Department of the Interior,Bureau of Land Management,Ojito Land Acquisition,14-5612,No Year,No Year,14-5612 /X - Ojito Land Acquisition,$0.3M,$0.3M,100.0%
Department of the Interior,Bureau of Safety and Environmental Enforcement,Offshore Safety and Environmental Enforcement,14-1700,FY2017,2017,14-1700 /17 - Offshore Safety and Environmental Enforcement,$0.2M,$0.3M,50.8%
Department of the Interior,Office of Surface Mining Reclamation and Enforcement,Regulation and Technology,14-1801,No Year,No Year,14-1801 /X - Regulation and Technology,$0.2M,$0.3M,66.1%
Department of the Interior,United States Geological Survey,Operation and Maintenance of Quarters,14-5055,No Year,No Year,14-5055 /X - Operation and Maintenance of Quarters,$0.2M,$0.3M,90.1%
Department of the Interior,Bureau of Land Management,"Payments to States from Grazing Receipts, Etc., Public Lands Wi",14-5044,No Year,No Year,"14-5044 /X - Payments to States from Grazing Receipts, Etc., Public Lands Wi",$0.0M,$0.2M,6.9%
Department of the Interior,Bureau of Land Management,"White Pine County Special Account, 85% Federal Share",14-5397,No Year,No Year,"14-5397 /X - White Pine County Special Account, 85% Federal Share",$0.1M,$0.2M,71.8%
Department of the Interior,Departmental Offices,Indian Arts and Crafts Fund,14-5130,No Year,No Year,14-5130 /X - Indian Arts and Crafts Fund,$0.2M,$0.2M,92.8%
Department of the Interior,Insular Affairs,"Micronesian Claims Fund, Trust Territory of the Pacific Islands",14-0416,No Year,No Year,"14-0416 /X - Micronesian Claims Fund, Trust Territory of the Pacific Islands",$0.2M,$0.2M,100.0%
Department of the Interior,National Park Service,Urban Park and Recreation Fund,14-1031,No Year,No Year,14-1031 /X - Urban Park and Recreation Fund,$0.2M,$0.2M,100.0%
Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education,Indian Loan Guaranty and Insurance Fund Liquidating Account,14-4410,No Year,No Year,14-4410 /X - Indian Loan Guaranty and Insurance Fund Liquidating Account,$0.1M,$0.1M,100.0%
Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education,Claims and Treaty Obligations,14-2623,No Year,No Year,14-2623 /X - Claims and Treaty Obligations,$0.1M,$0.1M,87.4%
Department of the Interior,Bureau of Land Management,Carson City Special Account,14-5558,No Year,No Year,14-5558 /X - Carson City Special Account,$0.1M,$0.1M,99.6%
Department of the Interior,Bureau of Reclamation,"Operation, Maintenance, and Replacement of Project Works, North",14-5058,No Year,No Year,"14-5058 /X - Operation, Maintenance, and Replacement of Project Works, North",$0.0M,$0.1M,33.3%
Department of the Interior,United States Fish and Wildlife Service,User Fees for Filming and Photography on Public Lands,14-5463,No Year,No Year,14-5463 /X - User Fees for Filming and Photography on Public Lands,$0.1M,$0.1M,100.0%
Department of the Interior,United States Geological Survey,"Surveys, Investigations, and Research",14-0804,FY2016-FY2018,2018,"14-0804 16/18 - Surveys, Investigations, and Research",$0.1M,$0.1M,59.6%
Department of the Interior,United States Geological Survey,"Surveys, Investigations, and Research",14-0804,FY2017-FY2019,2019,"14-0804 17/19 - Surveys, Investigations, and Research",$0.1M,$0.1M,100.0%
Department of the Interior,Bureau of Land Management,"State share, Carson City land sales",14-5561,No Year,No Year,"14-5561 /X - State share, Carson City land sales",$0.0M,$0.0M,100.0%
Department of the Interior,Bureau of Land Management,Use of Receipts from Mineral Leasing Activities on Certain Naval,14-5294,No Year,No Year,14-5294 /X - Use of Receipts from Mineral Leasing Activities on Certain Naval,$0.0M,$0.0M,100.0%
Department of the Interior,Bureau of Land Management,Geothermal Stream Act Implementation Fund,12-14-5575,No Year,No Year,12-14-5575 /X - Geothermal Stream Act Implementation Fund,$0.0M,$0.0M,100.0%
Department of the Interior,Bureau of Land Management,Geothermal Stream Act Implementation Fund,14-5575,No Year,No Year,14-5575 /X - Geothermal Stream Act Implementation Fund,$0.0M,$0.0M,100.0%
Department of the Interior,Bureau of Reclamation,Payments to Farmers' Irrigation District,14-5059,No Year,No Year,14-5059 /X - Payments to Farmers' Irrigation District,$0.0M,$0.0M,6.9%
Department of the Interior,Bureau of Reclamation,Bureau of Reclamation Loan Program Account,14-0685,No Year,No Year,14-0685 /X - Bureau of Reclamation Loan Program Account,$0.0M,$0.0M,96.4%
Department of the Interior,Bureau of Reclamation,San Gabriel Basin Restoration Fund,14-5483,No Year,No Year,14-5483 /X - San Gabriel Basin Restoration Fund,$0.0M,$0.0M,100.0%
Department of the Interior,Bureau of Safety and Environmental Enforcement,Oil Spill Research,14-1920,No Year,No Year,14-1920 /X - Oil Spill Research,$0.0M,$0.0M,100.0%
Department of the Interior,Departmental Offices,"Take Pride in America, Gifts and Bequests",14-8369,No Year,No Year,"14-8369 /X - Take Pride in America, Gifts and Bequests",$0.0M,$0.0M,100.0%
Department of the Interior,National Park Service,Construction (and Major Maintenance),69-14-1039,No Year,No Year,69-14-1039 /X - Construction (and Major Maintenance),$0.0M,$0.0M,0.0%
Department of the Interior,National Park Service,Historic Preservation Fund,14-5477,No Year,No Year,14-5477 /X - Historic Preservation Fund,$0.0M,$0.0M,100.0%
Department of the Interior,National Park Service,Construction (trust Fund),14-8215,No Year,No Year,14-8215 /X - Construction (trust Fund),$0.0M,$0.0M,100.0%
Department of the Interior,National Park Service,Construction (trust Fund),69-14-8215,No Year,No Year,69-14-8215 /X - Construction (trust Fund),$0.0M,$0.0M,0.0%
Department of the Interior,National Park Service,Glacier Bay National Park Resource Protection,14-5412,No Year,No Year,14-5412 /X - Glacier Bay National Park Resource Protection,$0.0M,$0.0M,83.2%
Department of the Interior,National Park Service,Recreation Fee Permanent Appropriations,14-5663,No Year,No Year,14-5663 /X - Recreation Fee Permanent Appropriations,$0.0M,$0.0M,100.0%
Department of the Interior,National Park Service,Grand Teton,14-5666,No Year,No Year,14-5666 /X - Grand Teton,$0.0M,$0.0M,44.0%
Department of the Interior,National Park Service,"Preservation, Birthplace of Abraham Lincoln",14-8052,No Year,No Year,"14-8052 /X - Preservation, Birthplace of Abraham Lincoln",$0.0M,$0.0M,100.0%
Department of the Interior,Office of Surface Mining Reclamation and Enforcement,Regulation and Technology,14-1801,FY2017,2017,14-1801 /17 - Regulation and Technology,$0.0M,$0.0M,18.9%
Department of the Interior,Office of the Special Trustee for American Indians,Tribal Special Fund,14-5265,No Year,No Year,14-5265 /X - Tribal Special Fund,$0.0M,$0.0M,0.0%
Department of the Interior,Office of the Special Trustee for American Indians,Tribal Trust Fund,14-8030,No Year,No Year,14-8030 /X - Tribal Trust Fund,$0.0M,$0.0M,0.0%
Department of the Interior,United States Fish and Wildlife Service,Exotic Bird Conservation Fund,14-5494,No Year,No Year,14-5494 /X - Exotic Bird Conservation Fund,$0.0M,$0.0M,100.0%
Department of the Interior,United States Fish and Wildlife Service,Private Stewardship Grants,14-5495,No Year,No Year,14-5495 /X - Private Stewardship Grants,$0.0M,$0.0M,0.0%
Department of the Interior,United States Geological Survey,"Surveys, Investigations, and Research",14-0804,FY2015-FY2017,2017,"14-0804 15/17 - Surveys, Investigations, and Research",$0.0M,$0.0M,19.9%
Department of the Treasury,Interest on the Public Debt,Interest on Treasury Debt Securities (gross),20-0550,No Year,No Year,20-0550 /X - Interest on Treasury Debt Securities (gross),"$69,695.8M","$504,323.8M",13.8%
Department of the Treasury,Departmental Offices,GSE Preferred Stock Purchase Agreements,20-0125,No Year,No Year,20-0125 /X - GSE Preferred Stock Purchase Agreements,"$258,050.0M","$258,050.0M",100.0%
Department of the Treasury,Internal Revenue Service,Payment Where Earned Income Credit Exceeds Liability for Tax,20-0906,No Year,No Year,20-0906 /X - Payment Where Earned Income Credit Exceeds Liability for Tax,"$2,248.3M","$61,917.0M",3.6%
Department of the Treasury,Internal Revenue Service,Refundable Premium Assistance Tax Credit,75-20-0949,No Year,No Year,75-20-0949 /X - Refundable Premium Assistance Tax Credit,"$7,685.0M","$48,801.1M",15.7%
Department of the Treasury,Departmental Offices,Exchange Stabilization Fund,20-4444,No Year,No Year,20-4444 /X - Exchange Stabilization Fund,"$39,820.3M","$40,459.7M",98.4%
Department of the Treasury,Internal Revenue Service,Payment Where Child Credit Exceeds Liability for Tax,20-0922,No Year,No Year,20-0922 /X - Payment Where Child Credit Exceeds Liability for Tax,"$2,218.5M","$21,579.0M",10.3%
Department of the Treasury,Fiscal Service,Interest Paid to Credit Financing Accounts,20-1880,No Year,No Year,20-1880 /X - Interest Paid to Credit Financing Accounts,"$9,502.6M","$16,260.0M",58.4%
Department of the Treasury,Internal Revenue Service,Refundable Premium Assistance Tax Credit,20-0949,No Year,No Year,20-0949 /X - Refundable Premium Assistance Tax Credit,"$12,162.7M","$12,162.7M",100.0%
Department of the Treasury,Internal Revenue Service,Enforcement,20-0913,FY2017,2017,20-0913 /17 - Enforcement,$465.0M,"$4,702.0M",9.9%
Department of the Treasury,Internal Revenue Service,Payment Where American Opportunity Credit Exceeds Liability for,20-0932,No Year,No Year,20-0932 /X - Payment Where American Opportunity Credit Exceeds Liability for,"$1,043.1M","$4,503.0M",23.2%
Department of the Treasury,Internal Revenue Service,Operations Support,20-0919,FY2017,2017,20-0919 /17 - Operations Support,$328.5M,"$3,728.9M",8.8%
Department of the Treasury,Internal Revenue Service,"Build America Bond Payments, Recovery Act",20-0935,No Year,No Year,"20-0935 /X - Build America Bond Payments, Recovery Act",$217.1M,"$3,652.8M",5.9%
Department of the Treasury,Federal Financing Bank,Federal Financing Bank,20-4521,No Year,No Year,20-4521 /X - Federal Financing Bank,"$2,636.7M","$3,294.3M",80.0%
Department of the Treasury,United States Mint,United States Mint Public Enterprise Fund,20-4159,No Year,No Year,20-4159 /X - United States Mint Public Enterprise Fund,"$1,189.6M","$3,271.8M",36.4%
Department of the Treasury,Internal Revenue Service,Payment Where Certain Tax Credits Exceed Liability for Corporate,20-0931,No Year,No Year,20-0931 /X - Payment Where Certain Tax Credits Exceed Liability for Corporate,"$2,901.4M","$3,239.6M",89.6%
Department of the Treasury,Fiscal Service,"Judgments, Court of Claims",20-1740,No Year,No Year,"20-1740 /X - Judgments, Court of Claims","$1,313.5M","$3,056.0M",43.0%
Department of the Treasury,Fiscal Service,Payment to the Resolution Funding Corporation,20-1851,No Year,No Year,20-1851 /X - Payment to the Resolution Funding Corporation,$0.0M,"$2,628.3M",0.0%
Department of the Treasury,Comptroller of the Currency,Assessment Funds,20-8413,No Year,No Year,20-8413 /X - Assessment Funds,"$1,564.7M","$2,602.3M",60.1%
Department of the Treasury,Internal Revenue Service,Taxpayer Services,20-0912,FY2017,2017,20-0912 /17 - Taxpayer Services,$206.7M,"$2,283.1M",9.1%
Department of the Treasury,Internal Revenue Service,"Refunding Internal Revenue Collections, Interest",20-0904,No Year,No Year,"20-0904 /X - Refunding Internal Revenue Collections, Interest",$625.2M,"$1,680.0M",37.2%
Department of the Treasury,Fiscal Service,"Judgments, United States Courts",20-1741,No Year,No Year,"20-1741 /X - Judgments, United States Courts",$622.8M,"$1,430.0M",43.6%
Department of the Treasury,Fiscal Service,Gulf Coast Restoration Trust Fund,20-8625,No Year,No Year,20-8625 /X - Gulf Coast Restoration Trust Fund,$955.9M,"$1,181.2M",80.9%
