Agency,Bureau,Account,Account_Number,Period_of_Performance,Expiration_Year,TAFS,Unobligated Balance (Line 2490),Budget Authority (Line 2500),Percentage Unobligated
International Assistance Programs,Agency for International Development,Sub-Saharan Africa Disaster Assistance,72-1040,No Year,No Year,72-1040 /X - Sub-Saharan Africa Disaster Assistance,$0.1M,$0.1M,100.0%
International Assistance Programs,Agency for International Development,Assistance for the Independent States of the Former Soviet Union,72-1093,FY2008-FY2014,2014,72-1093 08/14 - Assistance for the Independent States of the Former Soviet Union,$0.1M,$0.1M,92.3%
International Assistance Programs,International Security Assistance,Peacekeeping Operations,19-11-1032,No Year,No Year,19-11-1032 /X - Peacekeeping Operations,$0.1M,$0.1M,100.0%
International Assistance Programs,Agency for International Development,"Assistance for Europe, Eurasia and Central Asia",19-72-0306,No Year,No Year,"19-72-0306 /X - Assistance for Europe, Eurasia and Central Asia",$0.0M,$0.0M,100.0%
International Assistance Programs,Agency for International Development,"Assistance for Europe, Eurasia and Central Asia",19-72-0306,FY2013-FY2014,2014,"19-72-0306 13/14 - Assistance for Europe, Eurasia and Central Asia",$0.0M,$0.0M,0.0%
International Assistance Programs,Agency for International Development,Ukraine Loan Guarantees Program Account,72-0402,No Year,No Year,72-0402 /X - Ukraine Loan Guarantees Program Account,$0.0M,$0.0M,0.0%
International Assistance Programs,Agency for International Development,"Operating Expenses, Office of Inspector General",72-1007,FY2010-FY2017,2017,"72-1007 10/17 - Operating Expenses, Office of Inspector General",$0.0M,$0.0M,100.0%
International Assistance Programs,Agency for International Development,Development Assistance Program,19-72-1021,No Year,No Year,19-72-1021 /X - Development Assistance Program,$0.0M,$0.0M,100.0%
International Assistance Programs,Agency for International Development,Development Assistance Program,19-72-1021,FY2009-FY2014,2014,19-72-1021 09/14 - Development Assistance Program,$0.0M,$0.0M,0.0%
International Assistance Programs,Agency for International Development,International Disaster Assistance,72-1035,FY2014-FY2015,2015,72-1035 14/15 - International Disaster Assistance,$0.0M,$0.0M,0.0%
International Assistance Programs,Agency for International Development,Development Credit Authority Program Account,72-1264,FY2011-FY2017,2017,72-1264 11/17 - Development Credit Authority Program Account,$0.0M,$0.0M,100.0%
International Assistance Programs,Agency for International Development,Debt Reduction Financing Account,72-4137,No Year,No Year,72-4137 /X - Debt Reduction Financing Account,$0.0M,$0.0M,0.0%
International Assistance Programs,Agency for International Development,Private Sector Revolving Fund Liquidating Account,72-4341,No Year,No Year,72-4341 /X - Private Sector Revolving Fund Liquidating Account,$0.0M,$0.0M,100.0%
International Assistance Programs,Agency for International Development,Microenterprise and Small Enterprise Development Guaranteed Loan,72-4343,No Year,No Year,72-4343 /X - Microenterprise and Small Enterprise Development Guaranteed Loan,$0.0M,$0.0M,0.0%
International Assistance Programs,Agency for International Development,Advance Acquisition of Property--revolving Fund,72-4590,No Year,No Year,72-4590 /X - Advance Acquisition of Property--revolving Fund,$0.0M,$0.0M,100.0%
International Assistance Programs,International Monetary Programs,"Maintenance of Value Adjustments, International Monetary Fund",11-0004,No Year,No Year,"11-0004 /X - Maintenance of Value Adjustments, International Monetary Fund",$0.0M,$0.0M,0.0%
International Assistance Programs,International Security Assistance,Peacekeeping Operations,11-1032,FY2014,2014,11-1032 /14 - Peacekeeping Operations,$0.0M,$0.0M,0.0%
International Assistance Programs,International Security Assistance,Peacekeeping Operations,11-1032,FY2012-FY2016,2016,11-1032 12/16 - Peacekeeping Operations,$0.0M,$0.0M,0.0%
International Assistance Programs,International Security Assistance,Peacekeeping Operations,19-11-1032,FY2012-FY2016,2016,19-11-1032 12/16 - Peacekeeping Operations,$0.0M,$0.0M,100.0%
International Assistance Programs,International Security Assistance,Economic Support Fund,72-1037,FY2008-FY2014,2014,72-1037 08/14 - Economic Support Fund,$0.0M,$0.0M,97.9%
International Assistance Programs,International Security Assistance,Economic Support Fund,19-72-1037,FY2011-FY2016,2016,19-72-1037 11/16 - Economic Support Fund,$0.0M,$0.0M,100.0%
International Assistance Programs,International Security Assistance,Nonproliferation and Disarmament Fund,19-11-1071,No Year,No Year,19-11-1071 /X - Nonproliferation and Disarmament Fund,$0.0M,$0.0M,100.0%
International Assistance Programs,International Security Assistance,"Nonproliferation, Antiterrorism, Demining, and Related Programs",11-1075,FY2012-FY2016,2016,"11-1075 12/16 - Nonproliferation, Antiterrorism, Demining, and Related Programs",$0.0M,$0.0M,0.0%
International Assistance Programs,International Security Assistance,"Nonproliferation, Antiterrorism, Demining, and Related Programs",11-1075,FY2013-FY2014,2014,"11-1075 13/14 - Nonproliferation, Antiterrorism, Demining, and Related Programs",$0.0M,$0.0M,0.0%
International Assistance Programs,International Security Assistance,Military Debt Reduction Financing Account,11-4174,No Year,No Year,11-4174 /X - Military Debt Reduction Financing Account,$0.0M,$0.0M,100.0%
International Assistance Programs,Military Sales Program,Special Defense Acquisition Fund,11-4116,FY2012-FY2015,2015,11-4116 12/15 - Special Defense Acquisition Fund,$0.0M,$0.0M,0.0%
International Assistance Programs,Multilateral Assistance,Contribution to the International Finance Corporation,11-0078,No Year,No Year,11-0078 /X - Contribution to the International Finance Corporation,$0.0M,$0.0M,100.0%
International Assistance Programs,Multilateral Assistance,Debt Restructuring,72-11-0091,No Year,No Year,72-11-0091 /X - Debt Restructuring,$0.0M,$0.0M,100.0%
International Assistance Programs,Multilateral Assistance,International Affairs Technical Assistance Program,11-1045,FY2014,2014,11-1045 /14 - International Affairs Technical Assistance Program,$0.0M,$0.0M,0.0%
International Assistance Programs,Overseas Private Investment Corporation,Overseas Private Investment Corporation Liquidating Account,71-4030,No Year,No Year,71-4030 /X - Overseas Private Investment Corporation Liquidating Account,$0.0M,$0.0M,0.0%
International Assistance Programs,Peace Corps,Peace Corps,11-0100,No Year,No Year,11-0100 /X - Peace Corps,$0.0M,$0.0M,100.0%
Judicial Branch,"Courts of Appeals, District Courts, and other Judicial Services",Court Security,15-10-0930,FY2014,2014,15-10-0930 /14 - Court Security,$12.5M,$413.2M,3.0%
Judicial Branch,"Courts of Appeals, District Courts, and other Judicial Services",Court Security,15-10-0930,No Year,No Year,15-10-0930 /X - Court Security,$5.9M,$14.9M,39.2%
Judicial Branch,Administrative Office of the United States Courts,Salaries and Expenses,10-0927,FY2014,2014,10-0927 /14 - Salaries and Expenses,$0.0M,$0.0M,0.0%
Judicial Branch,Administrative Office of the United States Courts,Salaries and Expenses,10-0927,No Year,No Year,10-0927 /X - Salaries and Expenses,$0.0M,$0.0M,0.0%
Judicial Branch,"Courts of Appeals, District Courts, and other Judicial Services",Salaries and Expenses,10-0920,FY2014,2014,10-0920 /14 - Salaries and Expenses,$0.0M,$0.0M,0.0%
Judicial Branch,"Courts of Appeals, District Courts, and other Judicial Services",Salaries and Expenses,10-0920,No Year,No Year,10-0920 /X - Salaries and Expenses,$0.0M,$0.0M,0.0%
Judicial Branch,"Courts of Appeals, District Courts, and other Judicial Services",Defender Services,10-0923,No Year,No Year,10-0923 /X - Defender Services,$0.0M,$0.0M,0.0%
Judicial Branch,"Courts of Appeals, District Courts, and other Judicial Services",Fees of Jurors and Commissioners,10-0925,No Year,No Year,10-0925 /X - Fees of Jurors and Commissioners,$0.0M,$0.0M,0.0%
Judicial Branch,"Courts of Appeals, District Courts, and other Judicial Services",Court Security,10-0930,FY2014,2014,10-0930 /14 - Court Security,$0.0M,$0.0M,0.0%
Judicial Branch,"Courts of Appeals, District Courts, and other Judicial Services",Court Security,10-0930,No Year,No Year,10-0930 /X - Court Security,$0.0M,$0.0M,0.0%
Judicial Branch,"Courts of Appeals, District Courts, and other Judicial Services",Judiciary Filing Fees,10-5100,No Year,No Year,10-5100 /X - Judiciary Filing Fees,$0.0M,$0.0M,0.0%
Judicial Branch,"Courts of Appeals, District Courts, and other Judicial Services",Registry Administration,10-5101,No Year,No Year,10-5101 /X - Registry Administration,$0.0M,$0.0M,0.0%
Judicial Branch,"Courts of Appeals, District Courts, and other Judicial Services",Judiciary Information Technology Fund,10-5114,No Year,No Year,10-5114 /X - Judiciary Information Technology Fund,$0.0M,$0.0M,0.0%
Judicial Branch,Federal Judicial Center,Salaries and Expenses,10-0928,FY2014,2014,10-0928 /14 - Salaries and Expenses,$0.0M,$0.0M,0.0%
Judicial Branch,Federal Judicial Center,Salaries and Expenses,10-0928,FY2013-FY2014,2014,10-0928 13/14 - Salaries and Expenses,$0.0M,$0.0M,0.0%
Judicial Branch,Federal Judicial Center,Salaries and Expenses,10-0928,FY2014-FY2015,2015,10-0928 14/15 - Salaries and Expenses,$0.0M,$0.0M,0.0%
Judicial Branch,Judicial Retirement Funds,Payment to Judiciary Trust Funds,10-0941,FY2014,2014,10-0941 /14 - Payment to Judiciary Trust Funds,$0.0M,$0.0M,0.0%
Judicial Branch,United States Court of Appeals for the Federal Circuit,Salaries and Expenses,10-0510,FY2014,2014,10-0510 /14 - Salaries and Expenses,$0.0M,$0.0M,0.0%
Judicial Branch,United States Court of International Trade,Salaries and Expenses,10-0400,FY2014,2014,10-0400 /14 - Salaries and Expenses,$0.0M,$0.0M,0.0%
Judicial Branch,United States Sentencing Commission,Salaries and Expenses,10-0938,FY2014,2014,10-0938 /14 - Salaries and Expenses,$0.0M,$0.0M,0.0%
Judicial Branch,United States Sentencing Commission,Salaries and Expenses,10-0938,No Year,No Year,10-0938 /X - Salaries and Expenses,$0.0M,$0.0M,0.0%
Legislative Branch,Government Accountability Office,Salaries and Expenses,05-0107,FY2014,2014,05-0107 /14 - Salaries and Expenses,$54.8M,$509.7M,10.7%
Legislative Branch,Architect of the Capitol,House Historic Buildings RevitilizationTrust Fund,01-1833,No Year,No Year,01-1833 /X - House Historic Buildings RevitilizationTrust Fund,$219.5M,$238.6M,92.0%
Legislative Branch,Government Accountability Office,Salaries and Expenses,05-0107,No Year,No Year,05-0107 /X - Salaries and Expenses,$19.5M,$46.5M,41.9%
Legislative Branch,Architect of the Capitol,Capitol Building,01-0105,No Year,No Year,01-0105 /X - Capitol Building,$20.0M,$33.8M,59.3%
Legislative Branch,Architect of the Capitol,House Office Buildings,01-0127,FY2013-FY2017,2017,01-0127 13/17 - House Office Buildings,$31.8M,$32.7M,97.3%
Legislative Branch,Architect of the Capitol,Library Buildings and Grounds,01-0155,FY2014-FY2018,2018,01-0155 14/18 - Library Buildings and Grounds,$28.5M,$28.5M,100.0%
Legislative Branch,Legislative Branch Boards and Commissions,Capital Construction,48-2990,No Year,No Year,48-2990 /X - Capital Construction,$22.9M,$23.1M,98.9%
Legislative Branch,Architect of the Capitol,Capitol Building,01-0105,FY2014-FY2018,2018,01-0105 14/18 - Capitol Building,$20.7M,$21.4M,96.9%
Legislative Branch,Architect of the Capitol,Capitol Visitor Center,01-0161,FY2014,2014,01-0161 /14 - Capitol Visitor Center,$3.4M,$20.6M,16.3%
Legislative Branch,Architect of the Capitol,Senate Office Buildings,01-0123,FY2013-FY2017,2017,01-0123 13/17 - Senate Office Buildings,$7.4M,$18.7M,39.4%
Legislative Branch,Architect of the Capitol,Senate Office Buildings,01-0123,FY2014-FY2018,2018,01-0123 14/18 - Senate Office Buildings,$16.0M,$16.0M,100.0%
Legislative Branch,Legislative Branch Boards and Commissions,Medicare Payment Advisory Commission,48-1550,FY2014,2014,48-1550 /14 - Medicare Payment Advisory Commission,$1.4M,$11.5M,12.0%
Legislative Branch,Architect of the Capitol,Capitol Grounds,01-0108,FY2014,2014,01-0108 /14 - Capitol Grounds,$2.6M,$9.9M,26.5%
Legislative Branch,Architect of the Capitol,Senate Office Buildings,01-0123,FY2012-FY2016,2016,01-0123 12/16 - Senate Office Buildings,$8.9M,$9.8M,90.8%
Legislative Branch,Architect of the Capitol,House Office Buildings,01-0127,FY2014-FY2018,2018,01-0127 14/18 - House Office Buildings,$9.1M,$9.1M,100.0%
Legislative Branch,Legislative Branch Boards and Commissions,John C. Stennis Center for Public Service Training and Developme,09-8275,No Year,No Year,09-8275 /X - John C. Stennis Center for Public Service Training and Developme,$7.3M,$8.2M,89.1%
Legislative Branch,Legislative Branch Boards and Commissions,Medicaid and Chip Payment and Access Commission,09-1801,FY2014,2014,09-1801 /14 - Medicaid and Chip Payment and Access Commission,$0.6M,$7.5M,7.8%
Legislative Branch,Architect of the Capitol,Library Buildings and Grounds,01-0155,FY2012-FY2016,2016,01-0155 12/16 - Library Buildings and Grounds,$5.3M,$7.3M,72.7%
Legislative Branch,Architect of the Capitol,Capitol Building,01-0105,FY2012-FY2016,2016,01-0105 12/16 - Capitol Building,$4.5M,$5.4M,82.6%
Legislative Branch,Architect of the Capitol,Library Buildings and Grounds,01-0155,FY2011-FY2015,2015,01-0155 11/15 - Library Buildings and Grounds,$2.6M,$5.1M,50.8%
Legislative Branch,Architect of the Capitol,Capitol Grounds,01-0108,No Year,No Year,01-0108 /X - Capitol Grounds,$4.2M,$4.9M,86.0%
Legislative Branch,Architect of the Capitol,Capitol Visitor Center,01-0161,No Year,No Year,01-0161 /X - Capitol Visitor Center,$3.8M,$4.2M,90.3%
Legislative Branch,Architect of the Capitol,Capitol Grounds,01-0108,FY2014-FY2018,2018,01-0108 14/18 - Capitol Grounds,$3.8M,$4.0M,95.8%
Legislative Branch,Architect of the Capitol,Senate Office Buildings,01-0123,FY2011-FY2015,2015,01-0123 11/15 - Senate Office Buildings,$2.9M,$3.5M,81.9%
Legislative Branch,Legislative Branch Boards and Commissions,Medicaid and Chip Payment and Access Commission,09-1801,No Year,No Year,09-1801 /X - Medicaid and Chip Payment and Access Commission,$2.9M,$3.5M,83.6%
Legislative Branch,Legislative Branch Boards and Commissions,United States-China Economic and Security Review Commission,48-2973,FY2014-FY2015,2015,48-2973 14/15 - United States-China Economic and Security Review Commission,$1.2M,$3.5M,35.0%
Legislative Branch,Legislative Branch Boards and Commissions,Commission on International Religious Freedom,48-2975,FY2014-FY2015,2015,48-2975 14/15 - Commission on International Religious Freedom,$1.1M,$3.5M,30.0%
Legislative Branch,Architect of the Capitol,House Office Buildings,01-0127,FY2010-FY2014,2014,01-0127 10/14 - House Office Buildings,$1.1M,$3.2M,34.4%
Legislative Branch,Architect of the Capitol,Capitol Building,01-0105,FY2011-FY2015,2015,01-0105 11/15 - Capitol Building,$1.0M,$2.9M,35.1%
Legislative Branch,Legislative Branch Boards and Commissions,Dwight D. Eisenhower Memorial Commission,48-2989,No Year,No Year,48-2989 /X - Dwight D. Eisenhower Memorial Commission,$1.1M,$2.7M,41.3%
Legislative Branch,Architect of the Capitol,Capitol Power Plant,01-0133,FY2010-FY2014,2014,01-0133 10/14 - Capitol Power Plant,$0.9M,$2.6M,35.2%
Legislative Branch,Architect of the Capitol,Library Buildings and Grounds,01-0155,No Year,No Year,01-0155 /X - Library Buildings and Grounds,$2.6M,$2.6M,99.3%
Legislative Branch,Legislative Branch Boards and Commissions,Commission on Security and Cooperation in Europe: Salaries and E,09-0110,FY2014-FY2015,2015,09-0110 14/15 - Commission on Security and Cooperation in Europe: Salaries and E,$2.2M,$2.6M,86.7%
Legislative Branch,Architect of the Capitol,General Administration,01-0100,FY2011-FY2015,2015,01-0100 11/15 - General Administration,$2.0M,$2.4M,85.4%
Legislative Branch,Architect of the Capitol,Capitol Police Buildings and Grounds,01-0171,FY2014-FY2018,2018,01-0171 14/18 - Capitol Police Buildings and Grounds,$1.8M,$2.1M,85.4%
Legislative Branch,Botanic Garden,Botanic Garden,09-0200,FY2014-FY2018,2018,09-0200 14/18 - Botanic Garden,$2.1M,$2.1M,100.0%
Legislative Branch,Legislative Branch Boards and Commissions,Congressional Executive Commission on the People's Republic of C,95-2930,FY2014-FY2015,2015,95-2930 14/15 - Congressional Executive Commission on the People's Republic of C,$1.6M,$2.0M,80.2%
Legislative Branch,Architect of the Capitol,Capitol Police Buildings and Grounds,01-0171,FY2012-FY2016,2016,01-0171 12/16 - Capitol Police Buildings and Grounds,$1.8M,$1.9M,93.5%
Legislative Branch,Architect of the Capitol,Library Buildings and Grounds,01-0155,FY2010-FY2014,2014,01-0155 10/14 - Library Buildings and Grounds,$0.2M,$1.7M,13.5%
Legislative Branch,Legislative Branch Boards and Commissions,Commission on Security and Cooperation in Europe: Salaries and E,09-0110,FY2013-FY2014,2014,09-0110 13/14 - Commission on Security and Cooperation in Europe: Salaries and E,$0.0M,$1.7M,0.0%
Legislative Branch,Legislative Branch Boards and Commissions,Congressional Executive Commission on the People's Republic of C,95-2930,FY2013-FY2014,2014,95-2930 13/14 - Congressional Executive Commission on the People's Republic of C,$0.1M,$1.5M,8.5%
Legislative Branch,Legislative Branch Boards and Commissions,International Conferences and Contingencies: House and Senate Ex,09-0500,No Year,No Year,09-0500 /X - International Conferences and Contingencies: House and Senate Ex,$1.3M,$1.3M,100.0%
Legislative Branch,Architect of the Capitol,Senate Office Buildings,01-0123,No Year,No Year,01-0123 /X - Senate Office Buildings,$1.1M,$1.2M,90.4%
Legislative Branch,Architect of the Capitol,Library Buildings and Grounds,01-0155,FY2013-FY2017,2017,01-0155 13/17 - Library Buildings and Grounds,$0.8M,$1.2M,68.8%
Legislative Branch,Botanic Garden,Botanic Garden,09-0200,FY2011-FY2015,2015,09-0200 11/15 - Botanic Garden,$1.2M,$1.2M,100.0%
Legislative Branch,Legislative Branch Boards and Commissions,United States-China Economic and Security Review Commission,48-2973,FY2013-FY2014,2014,48-2973 13/14 - United States-China Economic and Security Review Commission,$0.0M,$1.1M,0.5%
Legislative Branch,Architect of the Capitol,General Administration,01-0100,FY2014-FY2018,2018,01-0100 14/18 - General Administration,$0.6M,$0.6M,100.0%
Legislative Branch,Architect of the Capitol,Senate Office Buildings,01-0123,FY2010-FY2014,2014,01-0123 10/14 - Senate Office Buildings,$0.0M,$0.6M,3.2%
Legislative Branch,Architect of the Capitol,General Administration,01-0100,FY2012-FY2016,2016,01-0100 12/16 - General Administration,$0.3M,$0.5M,56.9%
Legislative Branch,Architect of the Capitol,House Office Buildings,01-0127,No Year,No Year,01-0127 /X - House Office Buildings,$0.5M,$0.5M,100.0%
Legislative Branch,Architect of the Capitol,Recyclable Materials Revolving Fund,01-4297,No Year,No Year,01-4297 /X - Recyclable Materials Revolving Fund,$0.5M,$0.5M,100.0%
Legislative Branch,Legislative Branch Boards and Commissions,Dwight D. Eisenhower Memorial Fund,48-5549,No Year,No Year,48-5549 /X - Dwight D. Eisenhower Memorial Fund,$0.4M,$0.4M,95.5%
Legislative Branch,Legislative Branch Boards and Commissions,John C. Stennis Center for Public Service Training and Developme,09-1200,FY2014,2014,09-1200 /14 - John C. Stennis Center for Public Service Training and Developme,$0.1M,$0.4M,15.6%
Legislative Branch,Legislative Branch Boards and Commissions,Congressional Executive Commission on the People's Republic of C,95-2930,No Year,No Year,95-2930 /X - Congressional Executive Commission on the People's Republic of C,$0.4M,$0.4M,100.0%
Legislative Branch,Botanic Garden,Botanic Garden,09-0200,FY2010-FY2014,2014,09-0200 10/14 - Botanic Garden,$0.1M,$0.1M,47.4%
Legislative Branch,Legislative Branch Boards and Commissions,United States-China Economic and Security Review Commission,48-2973,No Year,No Year,48-2973 /X - United States-China Economic and Security Review Commission,$0.1M,$0.1M,100.0%
Legislative Branch,Legislative Branch Boards and Commissions,Commission on International Religious Freedom,48-2975,No Year,No Year,48-2975 /X - Commission on International Religious Freedom,$0.1M,$0.1M,100.0%
Legislative Branch,Legislative Branch Boards and Commissions,Commission on International Religious Freedom,48-2975,FY2013-FY2014,2014,48-2975 13/14 - Commission on International Religious Freedom,$0.0M,$0.1M,7.1%
Legislative Branch,Legislative Branch Boards and Commissions,Commission on Security and Cooperation in Europe: Salaries and E,09-0110,No Year,No Year,09-0110 /X - Commission on Security and Cooperation in Europe: Salaries and E,$0.1M,$0.1M,99.1%
Legislative Branch,Architect of the Capitol,General Administration,01-0100,FY2014,2014,01-0100 /14 - General Administration,$0.0M,$0.0M,0.0%
Legislative Branch,Architect of the Capitol,General Administration,01-0100,FY2010-FY2014,2014,01-0100 10/14 - General Administration,$0.0M,$0.0M,0.0%
Legislative Branch,Architect of the Capitol,General Administration,01-0100,FY2013-FY2017,2017,01-0100 13/17 - General Administration,$0.0M,$0.0M,100.0%
Legislative Branch,Architect of the Capitol,Capitol Building,01-0105,FY2014,2014,01-0105 /14 - Capitol Building,$0.0M,$0.0M,0.0%
Legislative Branch,Architect of the Capitol,Capitol Building,01-0105,FY2010-FY2014,2014,01-0105 10/14 - Capitol Building,$0.0M,$0.0M,0.0%
Legislative Branch,Architect of the Capitol,Capitol Grounds,01-0108,FY2010-FY2014,2014,01-0108 10/14 - Capitol Grounds,$0.0M,$0.0M,0.0%
Legislative Branch,Architect of the Capitol,Capitol Grounds,01-0108,FY2011-FY2015,2015,01-0108 11/15 - Capitol Grounds,$0.0M,$0.0M,0.0%
Legislative Branch,Architect of the Capitol,Senate Office Buildings,01-0123,FY2014,2014,01-0123 /14 - Senate Office Buildings,$0.0M,$0.0M,0.0%
Legislative Branch,Architect of the Capitol,Senate Health and Fitness Facility,01-4566,No Year,No Year,01-4566 /X - Senate Health and Fitness Facility,$0.0M,$0.0M,0.0%
Legislative Branch,Architect of the Capitol,House Office Buildings,01-0127,FY2014,2014,01-0127 /14 - House Office Buildings,$0.0M,$0.0M,0.0%
Legislative Branch,Architect of the Capitol,House of Representatives Gymnasium,01-4200,No Year,No Year,01-4200 /X - House of Representatives Gymnasium,$0.0M,$0.0M,0.0%
Legislative Branch,Architect of the Capitol,House Office Buildings,01-0127,FY2012-FY2016,2016,01-0127 12/16 - House Office Buildings,$0.0M,$0.0M,0.0%
Legislative Branch,Architect of the Capitol,Capitol Power Plant,01-0133,FY2014,2014,01-0133 /14 - Capitol Power Plant,$0.0M,$0.0M,0.0%
Legislative Branch,Architect of the Capitol,Capitol Power Plant,01-0133,FY2011-FY2015,2015,01-0133 11/15 - Capitol Power Plant,$0.0M,$0.0M,0.0%
Legislative Branch,Architect of the Capitol,Capitol Power Plant,01-0133,FY2012-FY2016,2016,01-0133 12/16 - Capitol Power Plant,$0.0M,$0.0M,0.0%
Legislative Branch,Architect of the Capitol,Capitol Power Plant,01-0133,FY2013-FY2017,2017,01-0133 13/17 - Capitol Power Plant,$0.0M,$0.0M,0.0%
Legislative Branch,Architect of the Capitol,Capitol Power Plant,01-0133,FY2014-FY2018,2018,01-0133 14/18 - Capitol Power Plant,$0.0M,$0.0M,0.0%
Legislative Branch,Architect of the Capitol,Library Buildings and Grounds,01-0155,FY2014,2014,01-0155 /14 - Library Buildings and Grounds,$0.0M,$0.0M,0.0%
Legislative Branch,Architect of the Capitol,Capitol Police Buildings and Grounds,01-0171,FY2014,2014,01-0171 /14 - Capitol Police Buildings and Grounds,$0.0M,$0.0M,0.0%
Legislative Branch,Architect of the Capitol,Capitol Police Buildings and Grounds,01-0171,No Year,No Year,01-0171 /X - Capitol Police Buildings and Grounds,$0.0M,$0.0M,0.0%
Legislative Branch,Architect of the Capitol,Capitol Police Buildings and Grounds,01-0171,FY2010-FY2014,2014,01-0171 10/14 - Capitol Police Buildings and Grounds,$0.0M,$0.0M,4.0%
Legislative Branch,Architect of the Capitol,Capitol Police Buildings and Grounds,01-0171,FY2011-FY2015,2015,01-0171 11/15 - Capitol Police Buildings and Grounds,$0.0M,$0.0M,0.0%
Legislative Branch,Botanic Garden,Botanic Garden,09-0200,FY2014,2014,09-0200 /14 - Botanic Garden,$0.0M,$0.0M,0.0%
Legislative Branch,Botanic Garden,Botanic Garden,09-0200,No Year,No Year,09-0200 /X - Botanic Garden,$0.0M,$0.0M,100.0%
Legislative Branch,Capitol Police,Security Enhancements,02-0461,No Year,No Year,02-0461 /X - Security Enhancements,$0.0M,$0.0M,0.0%
Legislative Branch,Capitol Police,General Expenses,02-0476,FY2014,2014,02-0476 /14 - General Expenses,$0.0M,$0.0M,0.0%
Legislative Branch,Capitol Police,General Expenses,02-0476,No Year,No Year,02-0476 /X - General Expenses,$0.0M,$0.0M,0.0%
Legislative Branch,Capitol Police,General Expenses,02-0476,FY2012-FY2014,2014,02-0476 12/14 - General Expenses,$0.0M,$0.0M,0.0%
Legislative Branch,Capitol Police,General Expenses,02-0476,FY2013-FY2014,2014,02-0476 13/14 - General Expenses,$0.0M,$0.0M,0.0%
Legislative Branch,Capitol Police,General Expenses,02-0476,FY2013-FY2015,2015,02-0476 13/15 - General Expenses,$0.0M,$0.0M,0.0%
Legislative Branch,Capitol Police,General Expenses,02-0476,FY2014-FY2015,2015,02-0476 14/15 - General Expenses,$0.0M,$0.0M,0.0%
Legislative Branch,Capitol Police,"Salaries, Capitol Police",02-0477,FY2014,2014,"02-0477 /14 - Salaries, Capitol Police",$0.0M,$0.0M,0.0%
Legislative Branch,Congressional Budget Office,Salaries and Expenses,08-0100,FY2014,2014,08-0100 /14 - Salaries and Expenses,$0.0M,$0.0M,0.0%
Legislative Branch,Congressional Budget Office,Salaries and Expenses,08-0100,No Year,No Year,08-0100 /X - Salaries and Expenses,$0.0M,$0.0M,0.0%
Legislative Branch,Government Printing Office,Office of Superintendent of Documents: Salaries and Expenses,04-0201,FY2014,2014,04-0201 /14 - Office of Superintendent of Documents: Salaries and Expenses,$0.0M,$0.0M,0.0%
Legislative Branch,Government Printing Office,Congressional Printing and Binding,04-0203,FY2014,2014,04-0203 /14 - Congressional Printing and Binding,$0.0M,$0.0M,0.0%
Legislative Branch,Legislative Branch Boards and Commissions,Open World Leadership Center Trust Fund,09-8148,No Year,No Year,09-8148 /X - Open World Leadership Center Trust Fund,$0.0M,$0.0M,0.0%
Legislative Branch,Legislative Branch Boards and Commissions,U.S. Capitol Preservation Commission,09-8300,No Year,No Year,09-8300 /X - U.S. Capitol Preservation Commission,$0.0M,$0.0M,0.0%
Legislative Branch,Legislative Branch Boards and Commissions,Oliver Wendell Holmes Devise Fund,03-5075,No Year,No Year,03-5075 /X - Oliver Wendell Holmes Devise Fund,$0.0M,$0.0M,0.0%
Legislative Branch,Legislative Branch Boards and Commissions,Abraham Lincoln Bicentennial Commission,48-2995,No Year,No Year,48-2995 /X - Abraham Lincoln Bicentennial Commission,$0.0M,$0.0M,0.0%
Legislative Branch,Legislative Branch Boards and Commissions,Abraham Lincoln Bicentennial Commission Fund,48-5490,No Year,No Year,48-5490 /X - Abraham Lincoln Bicentennial Commission Fund,$0.0M,$0.0M,0.0%
Legislative Branch,Legislative Branch Boards and Commissions,World War I Centennial Commission,48-5589,No Year,No Year,48-5589 /X - World War I Centennial Commission,$0.0M,$0.0M,41.7%
Legislative Branch,Library of Congress,Salaries and Expenses,03-0101,FY2014,2014,03-0101 /14 - Salaries and Expenses,$0.0M,$0.0M,0.0%
Legislative Branch,Library of Congress,Salaries and Expenses,03-0101,No Year,No Year,03-0101 /X - Salaries and Expenses,$0.0M,$0.0M,0.0%
Legislative Branch,Library of Congress,Salaries and Expenses,03-0101,FY2013-FY2014,2014,03-0101 13/14 - Salaries and Expenses,$0.0M,$0.0M,0.0%
Legislative Branch,Library of Congress,Salaries and Expenses,03-0101,FY2014-FY2015,2015,03-0101 14/15 - Salaries and Expenses,$0.0M,$0.0M,0.0%
Legislative Branch,Library of Congress,Copyright Office: Salaries and Expenses,03-0102,FY2014,2014,03-0102 /14 - Copyright Office: Salaries and Expenses,$0.0M,$0.0M,0.0%
Legislative Branch,Library of Congress,Copyright Office: Salaries and Expenses,03-0102,No Year,No Year,03-0102 /X - Copyright Office: Salaries and Expenses,$0.0M,$0.0M,0.0%
Legislative Branch,Library of Congress,Congressional Research Service: Salaries and Expenses,03-0127,FY2014,2014,03-0127 /14 - Congressional Research Service: Salaries and Expenses,$0.0M,$0.0M,0.0%
Legislative Branch,Library of Congress,Books for the Blind and Physically Handicapped: Salaries and Exp,03-0141,FY2014,2014,03-0141 /14 - Books for the Blind and Physically Handicapped: Salaries and Exp,$0.0M,$0.0M,0.0%
